SLUS-20776                       757                  1761804663          
SCUS-97399                       2633                 1761889358          
20040614-100909                  705                  1737536906          
SLUS-20946                       6980                 1761976811          
SLUS-21900                       300                  1737373415          
SLES-55672                       220                  1737373862          
SCUS-97481                       393                  1737374288          
SLUS-21269                       1036                 1761520376          
SLUS-21376                       817                  1737378656          
SLUS-21931                       188                  1737379566          
SLUS-21059                       336                  1737380079          
SCUS-97472                       454                  1737380863          
SLUS-21355                       400                  1737381930          
SLUS-20965                       887                  1737505974          
SLUS-21328                       139                  1737382701          
SLUS-21065                       501                  1737384303          
SLUS-20624                       317                  1737385463          
SLUS-21543                       869                  1748210313          
SLUS-21410                       28                   1737389444          
SLES-52202                       417                  1737391761          
SCUS-97177                       849                  1761551491          
SLES-55605                       944                  1737534755          
SLUS-21672                       304                  1737535532          
SLUS-21864                       1258                 1748211577          
SLUS-20944                       3375                 1761975976          
SLUS-21644                       540                  1757480071          
SLUS-21785                       1114                 1761803475          
